Network,Aliases,Category,Marked,Philo,Sling Orange,Sling Blue,Sling Orange + Blue,DirecTV Stream Entertainment,DirecTV Stream Choice,DirecTV Stream Ultimate,DirecTV Stream Premier,YouTube TV,Hulu with Live TV,Fubo TV,KlowdTV,Frndly TV,Vidgo English Premium,Vidgo English Plus,Vidgo Spanish MAS,Placeholder3,Placeholder4,Placeholder4,Placeholder5,Placeholder6,Placeholder7,Spectrum TV Essentials,Philo Chosen,Sling Orange Chosen,Sling Blue Chosen,Sling Orange + Blue Chosen,DirecTV Stream Entertainment Chosen,DirecTV Stream Choice Chosen,DirecTV Stream Ultimate Chosen,DirecTV Stream Premier Chosen,YouTube TV Chosen,Hulu with Live TV Chosen,Fubo TV Chosen,KlowdTV Chosen,Frndly TV Chosen,Vidgo English Premium Chosen,Vidgo English Plus Chosen,Vidgo Spanish MAS Chosen,Placeholder3 Chosen,Placeholder4 Chosen,Placeholder4 Chosen,Placeholder5 Chosen,Placeholder6 Chosen,Placeholder7 Chosen,Spectrum TV Essentials Chosen,Network Chosen,Philo qualify,Sling Orange qualify,Sling Blue qualify,Sling Orange + Blue qualify,DirecTV Stream Entertainment qualify,DirecTV Stream Choice qualify,DirecTV Stream Ultimate qualify,DirecTV Stream Premier qualify,YouTube TV qualify,Hulu with Live TV qualify,Fubo TV qualify,KlowdTV qualify,Frndly TV qualify,Vidgo English Premium qualify,Vidgo English Plus qualify,Vidgo Spanish MAS qualify,Placeholder3 qualify,Placeholder4 qualify,Placeholder4 qualify,Placeholder5 qualify,Placeholder6 qualify,Placeholder7 qualify,Spectrum TV Essentials qualify,Highlight Network,Highlight Service,Highlight Result A,Highlight Result B,User Mark
Estudio 5,Estudio5,Spanish,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
ESTV,,Sports,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Euro News,Euronews,News,,,,,,,,,,,,News Plus,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fail Army,,Entertainment,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Family Movie Classics,FMC,Movies,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fandor,,Movies,,,,,,,,,,Fandor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FanDuel Racing,,Sports,,,,,,,,,,,Sports,,Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FanDuel TV,"TVG, FanDuel",Sports,,,,,,,Yes,Yes,Yes,Sports Plus,Sports,,Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FedNet,,News,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FETV,FE TV,Entertainment,,,Comedy Extra,Comedy Extra,Comedy Extra,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Feva TV,,Entertainment,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fido TV,,Entertainment,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fight Network,The Fight Network,Sports,,,,,,,,,,Sports Plus,,Sports Plus with NFL RedZone,Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Film 24,Film 24H,International,,,,,,Vietnamese,Vietnamese,Vietnamese,Vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fite,,Sports,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FlixLatino,,Spanish,,,FlixLatino,FlixLatino,FlixLatino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FM,,Music,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fntsy Sports Network,,Sports,,,,,,,,,,,,,Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Food Network,"Food, Foodnetwork",Lifestyle,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
For the Fans,,Sports,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
ForoTV,Foro TV,Spanish,,,,,,Espanol,Espanol,Espanol,Espanol,Spanish Plus,,Entretenimiento Plus,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FOX,,Broadcast,1,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,0,0,0,0,1
Fox Business,Fox Business Network,News,,,,News Extra,News Extra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fox Deportes,,Spanish,,,,,,Espanol,Espanol,Espanol,Espanol,Spanish Plus,Espanol,Fubo Latino,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fox Nation,,Entertainment,,,,,,,,,,Fox Nation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fox News,"FNC, Fox News Channel",News,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fox Soccer Plus,,Sports,,,,,,,,,,Sports Plus,,CONMEBOL & More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FOX SOUL,,Lifestyle,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fox Sports 1,"FS1, FS 1",Sports,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fox Sports 2,"FS2, FS 2,",Sports,,,,Sports Extra,Sports Extra,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fox Weather,,News,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Foxlife,Fox Life,Spanish,,,,,,,,,,,,Latino Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
France24,France 24,News,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
France24 Espanol,France 24 en Espanol,Spanish,,,Best of Spanish TV,Best of Spanish TV,Best of Spanish TV,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Freeform,Free Form,Kids and family,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Frndly TV: DVR Classic,,Addon,,,,,,,,,,,,,,Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Frndly TV: DVR Premium,,Addon,,,,,,,,,,,,,,Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fubo Latino Network,,Sports,,,,,,,,,,,,Fubo Latino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fubo Movie Network,,Movies,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fubo Sports Network,,Sports,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fubo TV: Cloud DVR 1000,,Addon,,,,,,,,,,,,Cloud DVR 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fubo TV: Cloud DVR 250,,Addon,,,,,,,,,,,,Cloud DVR 250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fubo TV: Family Share,,Addon,,,,,,,,,,,,Family Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fubo TV: Family Share Max,,Addon,,,,,,,,,,,,Unlimited Screens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fubo TV: Showtime + Starz + Epix,,Addon,,,,,,,,,,,,(Showtime + Starz + Epix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fubo TV: Sports Plus with NFL Red Zone,,Addon,,,,,,,,,,,,Sports Plus with NFL RedZone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fuel TV,,Sports,,,,,,,,,,,,Sports Plus with NFL Redzone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fun Roads TV,,Lifestyle,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Fuse,,Music,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,Fubo Extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FX,FX Network,Entertainment,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FX Movies,"FXM, FX Movie Channel",Movies,,,,Hollywood Extra,Hollywood Extra,,,Yes,Yes,Yes,Yes,Fubo Extra,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FXX,,Entertainment,,,,Hollywood Extra,Hollywood Extra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
FYI,FYI channel,Lifestyle,,Yes,Lifestyle Extra,Lifestyle Extra,Lifestyle Extra,,,Yes,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
G4,G4TV,Entertainment,,Yes,,,,,,,,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
GAC Living,"Ride TV, Great American Living",Lifestyle,,Yes,Heartland Extra,Heartland Extra,Heartland Extra,,,,,,,Fubo Extra,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Galavision,Galavisión,Spanish,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Gallery,,Lifestyle,,,Gallery,Gallery,Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Game Show Network,"GSN, Gameshow",Entertainment,,Yes,Comedy Extra,Comedy Extra,Comedy Extra,,Yes,Yes,Yes,Yes,,Fubo Extra,Premium,Yes,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Game+,"Game Plus, Game Plus TV, Game +, Game+ Network",Lifestyle,,,,,,,,,,,,Sports Plus with NFL Redzone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
GetTV,Get TV,Entertainment,,Yes,,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
GINX eSports TV,,Sports,,,,,,,,,,,,Fubo Extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Globo,TV Globo,International,,,,,,Brazillian (Portuguese),Brazillian (Portuguese),Brazillian (Portuguese),Brazillian (Portuguese),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Golf Channel,"Golf, Golf Network, The Golf Channel, NBC Golf",Sports,,,,Sports Extra,Sports Extra,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
GolTV,"GolTV English, GolTV (English)",Sports,,,,,,Espanol,Espanol,Espanol,Espanol,,,CONMEBOL & More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
GolTV Spanish,GolTV (Spanish),Sports,,,,,,,,,,,,Fubo Latino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
GoTraveler,,Lifestyle,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Great American Country,"GAC, GAC Family, Great American Family",Entertainment,,Yes,Heartland Extra,Heartland Extra,Heartland Extra,,Yes,Yes,Yes,,Entertainment,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Grit,,Entertainment,,,Hollywood Extra,Hollywood Extra,Hollywood Extra,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Grokker,,International,,,Grokker,Grokker,Grokker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Gusto TV,"Gusto, GustoTV",Entertainment,,Yes,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Hallmark,Hallmark Channel,Kids and family,,Yes,Lifestyle Extra,Lifestyle Extra,Lifestyle Extra,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Hallmark Drama,,Kids and family,,Yes,Lifestyle Extra,Lifestyle Extra,Lifestyle Extra,Movies Extra Pack,Movies Extra Pack,Movies Extra Pack,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Hallmark Movies & Mysteries,"Hallmark Movies, Hallmark Movies and Mysteries",Kids and family,,Yes,Lifestyle Extra,Lifestyle Extra,Lifestyle Extra,Yes,Movies Extra Pack,Movies Extra Pack,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Hallmark Movies Now,,Kids and family,,,Hallmark Movies Now,Hallmark Movies Now,Hallmark Movies Now,,,,,Hallmark Movies Now,,,,Hallmark Movies Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HappiTV,,Lifestyle,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Hard Knocks,,Entertainment,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HBO,Home Box Office,Premium movies,,,,,,HBO Max,HBO Max,HBO Max,Yes,HBO,HBO Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HBO Comedy,,Premium movies,,,,,,HBO Max,HBO Max,HBO Max,Yes,HBO,HBO Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HBO Family,,Premium movies,,,,,,HBO Max,HBO Max,HBO Max,Yes,HBO,HBO Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HBO Latino,,Premium movies,,,,,,HBO Max,HBO Max,HBO Max,Yes,HBO,HBO Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HBO Max,,Premium movies,,,,,,HBO Max,HBO Max,HBO Max,Yes,HBO Max,HBO Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HBO Signature,,Premium movies,,,,,,HBO Max,HBO Max,HBO Max,Yes,HBO,HBO Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HBO Zone,,Premium movies,,,,,,HBO Max,HBO Max,HBO Max,Yes,HBO,HBO Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HBO2,HBO 2,Premium movies,,,,,,HBO Max,HBO Max,HBO Max,Yes,HBO,HBO Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HDnet Movies,,Movies,,Movies & More,Hollywood Extra,Hollywood Extra,Hollywood Extra,Movies Extra Pack,Movies Extra Pack,Movies Extra Pack,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Heartland TV,,Music,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Here TV,,Lifestyle,,,Here TV,Here TV,Here TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Heroes & Icons,Heroes and Icons,Entertainment,,Yes,Hollywood Extra,Hollywood Extra,Hollywood Extra,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HGTV,,Lifestyle,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
History,"History Channel, The History Channel",Entertainment,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
History En Español,"History Channel En Español, The History Channel en Español, History en Espanol, History Channel Espanol",Spanish,,,Best of Spanish TV,Best of Spanish TV,Best of Spanish TV,Espanol,Espanol,Espanol,Espanol,,Espanol,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HITN TV,HITN,Spanish,,,,,,Espanol,Espanol,Espanol,Espanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Hi-Yah!,,Lifestyle,,,Hi-Yah!,Hi-Yah!,Hi-Yah!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HLN,,News,,,News Extra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Hogar De HGTV,Hogar,Spanish,,,,,,Espanol,Espanol,Espanol,Espanol,,,Fubo Latino,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HONVIETV,,International,,,,,,Vietnamese,Vietnamese,Vietnamese,Vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Hopster,,Kids and family,,,Hopster,Hopster,Hopster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Horror Machine,,Entertainment,,,,,,,,,,,,,Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HorseTV,,Lifestyle,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
HSN,Home Shopping Network,Lifestyle,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Hulu with Live TV: No Ads,,Addon,,,,,,,,,,,No Ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Hulu with Live TV: Unlimited Screens,,Addon,,,,,,,,,,,Unlimited Screens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Hunt Channel,,Lifestyle,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
i24News,i24 News,International,,,,,,,,,,,,News Plus,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
IFC,,Entertainment,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
IFC Films Unlimited,,Movies,,,IFC Films Unlimited,IFC Films Unlimited,IFC Films Unlimited,,,,,IFC Films Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Impact,Impact Network,Entertainment,,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
IMPACT! Wrestling,Impact Wrestling,Sports,,,,,,,,,,Sports Plus,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
IndiePlex ,,Entertainment,,,STARZ,STARZ,STARZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
InfoWars,,Entertainment,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Insight TV,,Entertainment,,,,,,,,,,,,Adventure Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Insp,,Entertainment,,Yes,Heartland Extra,Heartland Extra,Heartland Extra,,,,,,,Fubo Extra,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
